Name of State,Name of District,"S.No.
of Bloc k",Name of Block,Assigned 
"Arunachal
Pradesh",Anjaw ,1,Chaglagam,7
"Arunachal
Pradesh",Anjaw ,2,Hawai-Walong,8
"Arunachal
Pradesh",Anjaw ,3,Hayuliang,13
"Arunachal
Pradesh",Anjaw ,4,Manchal,10
"Arunachal
Pradesh",Changlang ,5,Changlan,13
"Arunachal
Pradesh",Changlang ,6,"Khagam-Miao CD
Block",10
"Arunachal
Pradesh",Changlang ,7,Khimyang,11
"Arunachal
Pradesh",Changlang ,8,Manmao,5
"Arunachal
Pradesh",Changlang ,9,Nampong,8
"Arunachal
Pradesh",Changlang ,10,Yatdam,8
"Arunachal
Pradesh",Dibang Valley,11,Aneli-Arzoo,9
"Arunachal
Pradesh",Dibang Valley,12,Anini-Mipi Aliny,12
"Arunachal
Pradesh",Dibang Valley,13,Etalin-Maliney,12
"Arunachal
Pradesh",East Kameng,14,Bameng,6
"Arunachal
Pradesh",East Kameng,15,Chayang-Tajo,11
"Arunachal
Pradesh",East Kameng,16,Khenewa,6
"Arunachal
Pradesh",KraDaadi,17,Pipsorang,10
Assam,Baksa ,47,47738,9
Assam,Baksa ,48,Dhamdhama,13
Assam,Baksa ,49,Gobardhana,10
Assam,Baksa ,50,Jalah,7
Assam,Baksa ,51,Nagrijuli,12
Assam,Baksa ,52,Tamulpur,14
Assam,Cachar ,53,Kalain,13
Assam,Cachar ,54,Katigorah,11
Assam,Chirang ,55,Borobazar,10
Assam,Chirang ,56,Sidli-Chirang,10
Assam,Dhubri ,57,Agomani,12
Assam,Dhubri ,58,Birsingh Jharua,7
Assam,Dhubri ,59,Gauripur,11
Assam,Dhubri ,60,Golokganj,11
Assam,Dhubri ,61,Rupsi Dev.,8
Assam,Karimganj ,62,Badarpur,11
Assam,Karimganj ,63,Lowairpoa,15
Assam,Karimganj ,64,North  Karimganj,7
Assam,Karimganj ,65,Patharkandi,10
Assam,Karimganj ,66,South Karimganj,7
Manipur,Chandel ,119,Chak  ikarong,14
Manipur,Chandel ,120,Chandel,7
Manipur,Chandel ,121,KHENGJOI,8
Manipur,Chura,122,Sangaikot,12
Manipur,Chura,123,Singhat,6
Manipur,KAMJONG,124,Kamjong,14
Manipur,KAMJONG,125,Kasom Khullen  South),5
Manipur,KAMJONG,126,Phungyar,5
Manipur,KAMJONG,127,"SAHAMPHUNG  TD
BLOCK",14
Mizoram,Champhai  ,149,Champhai,13
Mizoram,Champhai  ,150,Khawbung,6
Mizoram,Hnahthial ,151,Hnahthial,5
Mizoram,Lawngtlai ,152,Bungtlang,14
Mizoram,Lawngtlai ,153,Chawngte,9
Mizoram,Lawngtlai ,154,Lawngtlai,11
Mizoram,Lawngtlai ,155,Sangau,10
Mizoram,Lunglei ,156,Bunghmum,11
Mizoram,Lunglei ,157,Lungsen,12
Mizoram,Mamit ,158,W.Phaileng,6
Mizoram,Mamit ,159,Zawlnuam,13
"Nagaland
",Mon ,164,Aboi,6
"Nagaland
",Mon ,165,Angjauyang,6
"Nagaland
",Mon ,166,Chen,6
"Nagaland
",Mon ,167,Mon Sadar,14
"Nagaland
",Mon ,168,Phomching,14
"Nagaland
",Mon ,169,Tobu,13
"Nagaland
",Kiphirc ,170,Khonqsa,14
"Nagaland
",Kiphirc ,171,Â Pungro,9
"Nagaland
",Noklak ,172,Noklak,6
Meghalaya,East Jaiutia Hills,135,Khlieheriat,12
Meghalaya,East Khasi Hills,136,Mawsynram,14
Meghalaya,East Khasi Hills,137,Pynursla,10
Meghalaya,East Khasi Hills,138,Sohra,10
Meghalaya,South Garo hills,139,Baghmara,15
Meghalaya,South Garo hills,140,Gasuaara,5
Meghalaya,South  West Garo,141,Ampati,8
Meghalaya,South  West Garo,142,Kalaichar,5
Meghalaya,South  West,143,Mawkyrwat,9
Meghalaya,South  West,144,Ranikor,11
